feeder,qu_deadband_pct,qu_response_tau_s,oltc_deadband_pct,oltc_delay_s,total_tap_ops,warmup_tap_ops,taps_per_day,curtailment_mvarh,voltage_ripple_pu,sim_hours,tap_ops_reg1,tap_ops_reg2,tap_ops_reg3,wall_seconds,seed
ieee13,0.0,1.0,1.0,45.0,11,0,26.62259447043334,0.10441111994528048,0.008863495774666053,9.916388888888891,8,3,0,14.545536994934082,42
ieee13,0.0,10.0,1.0,45.0,11,0,26.62259447043334,0.10811035178964447,0.010904598909654895,9.916388888888891,8,3,0,19.09289002418518,42
ieee13,0.0,30.0,1.0,45.0,17,0,41.14400963612425,0.10550873507084334,0.011248770677883324,9.916388888888891,14,3,0,30.671651124954224,42
ieee13,0.0,60.0,1.0,45.0,27,0,65.34636824560911,0.1068499730125093,0.01332793890682582,9.916388888888891,18,9,0,28.703047513961792,42
ieee13,1.0,1.0,1.0,45.0,37,0,89.54872685509396,0.013513968074277351,0.011543505930667441,9.916388888888891,20,17,0,29.14751172065735,42
ieee13,1.0,10.0,1.0,45.0,37,0,89.54872685509396,0.017515507195430165,0.013121051282766305,9.916388888888891,20,17,0,30.88653302192688,42
ieee13,1.0,30.0,1.0,45.0,39,0,94.38919857699094,0.023507774681135317,0.013467068755125267,9.916388888888891,22,17,0,31.15731644630432,42
ieee13,1.0,60.0,1.0,45.0,45,0,108.91061374268185,0.028345835890099064,0.013458011854883822,9.916388888888891,24,21,0,28.595152616500854,42
ieee13,2.0,1.0,1.0,45.0,65,0,157.31533096165157,0.0032015354576118366,0.012284138036935732,9.916388888888891,37,28,0,25.143583059310913,42
ieee13,2.0,10.0,1.0,45.0,65,0,157.31533096165157,0.004414100838185426,0.012831169577476542,9.916388888888891,37,28,0,34.16752290725708,42
ieee13,2.0,30.0,1.0,45.0,65,0,157.31533096165157,0.0061830660760293565,0.012997472225213635,9.916388888888891,37,28,0,28.541139841079712,42
ieee13,2.0,60.0,1.0,45.0,65,0,157.31533096165157,0.007619027281673629,0.01301474705956418,9.916388888888891,37,28,0,29.329279899597168,42
ieee13,3.0,1.0,1.0,45.0,65,0,157.31533096165157,0.00014111421485283834,0.012780398737208043,9.916388888888891,37,28,0,26.991453409194946,42
